,assembler,type_input_data,type_ref_data,Contigs/scaffolds,Time_min,ContigLength/ScaffoldsLenght,Assembly_length,max_memory_vsz_mb,max_memory_rss_mb,path_ref,script,name_script,path_config_file,Comment,min_fot_score,lenght_ref,ref_vs_qry,qry_vs_ref,X19,Score,Secondary_title,Species,Gene_Count
19,ARC,genome_16p,full_mt_genom_Eve,16,10.1166699999999992,17056,0,920.92999999999995,245.849999999999994,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.856620771287612,14370,0.960403618649965,0.822701688555347,NA,0.67555651962323,Pool animals,E. cyaneus,NA
20,ARC,genome_16p,part_COI_Ecy,5,10.4000000000000004,5108,0,917.169999999999959,186.659999999999997,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.348697907260657,14370,0.276200417536534,0.792090837901331,NA,0.404247290674633,Pool animals,E. cyaneus,NA
21,ARC,genome_1p,full_COI_Ecy,0,0.366666666666666874,0,0,860.379999999999995,87.0699999999999932,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0,14370,0,0,NA,NA,Pool animals,E. cyaneus,NA
22,ARC,genome_1p,full_mt_genom_Ecy,0,0.51666666666666714,0,0,917.899999999999977,137.47999999999999,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0,14370,0,0,NA,NA,Pool animals,E. cyaneus,0
23,ARC,genome_1p,full_mt_genom_Eve,0,0.5,0,0,859.590000000000032,194.289999999999992,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0,14370,0,0,NA,NA,Pool animals,E. cyaneus,NA
24,ARC,genome_1p,part_COI_Ecy,0,0.35,0,0,848.990000000000009,257.730000000000018,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0,14370,0,0,NA,NA,Pool animals,E. cyaneus,NA
25,ARC,genome_3x,full_COI_Bpul,15,18.13333,9400,NA,923.69,264.43,NA,NA,NA,NA,NA,0.577253746008352,16284,0.479918938835667,0.831382978723404,NA,0.488805582558523,NA,NA,8
26,ARC,genome_3x,full_COI_Ecy,8,26.53333,5968,NA,906.39,190.04,NA,NA,NA,NA,NA,0.393163658514487,14370,0.285386221294363,0.725871313672922,NA,0.382355298370445,NA,NA,0
27,ARC,genome_3x,full_mt_genom_Bpul,26821,319.5333,7248527,NA,3381.5,3198.16,NA,NA,NA,NA,NA,0.002246525397504,16284,0.970891672807664,0.00218113280118843,NA,0.243839153805987,NA,NA,15
28,ARC,genome_3x,full_mt_genom_Bpul_Eve,18,5.5,12314,NA,900.43,123.2,NA,NA,NA,NA,NA,0.756041752414924,16284,0.577990665684107,0.764495695955823,NA,0.538520917402603,NA,NA,10
